Text,Emotion,Intensity,Clean_Text
How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door. #angry #mad ##,anger,0.938,heck move fridge knock landlord door
So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted ,anger,0.896,indian uber driver call n word move vehicle jump
@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice,anger,0.896,ask parcel deliver pick store address
so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed #angry #upset #tired #sad #tired #hangry ######,anger,0.896,ef whichever butt wipe pull fire alarm davis bc sound asleep
"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming",anger,0.896,join phone talk rude take money acc willynilly
My blood is boiling,anger,0.875,blood boil
When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us ðŸ˜­ðŸ˜­ @__KirstyGA #raging #oldcunt,anger,0.875,get season wentworth watch stupid cunt work ruin
"@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. #fuming",anger,0.875,tracking equipment deliver service suddenly delay week
"@TeamShanny legit why i am so furious with him, people are such fucking idiots.",anger,0.875,legit furious people fuck idiot
How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. ,anger,0.875,suppose work wtf dude thank piss
im so mad about power rangers. im incensed. im furious.,anger,0.667,m mad power ranger m incense m furious
Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming,anger,0.854,will not use guy not right
Bitches aggravate like what inspires you to be the biggest cunt known to man kind?,anger,0.854,bitch aggravate like inspire big cunt know man kind
"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages #raging",anger,0.938,come glasgow night work fucking gutte wait appearance age
Fuking fuming ðŸ˜¤,anger,0.854,fuke fume
Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that donâ€™t happen. #anger #loathing,anger,0.854,zero help customer service push buck forth promise callback donâ t happen
@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.,anger,0.854,mention gra guy stop let ppl wtf blood boil
"I hate my lawn mower. If it had a soul, I'd condemn it to the fiery pits of Hell.",anger,0.833,hate lawn mower soul condemn fiery pit hell
why are people so offended by kendall he ends photo shoot like seriously shut the fuck up,anger,0.833,people offend kendall end photo shoot like seriously shut fuck
I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn ,anger,0.812,block posting storm think aware damn rain quit
Making my buddy cry !! Bitch wait for revenge ðŸ¤—ðŸ‘ŒðŸ»,anger,0.812,make buddy cry bitch wait revenge ðÿ
Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! #insult,anger,0.891,be tell true blooded hoopjunkie switch team juz destroy team juz
I got a NO RESPONSE again from an #irate customer of #amazon ðŸ˜žðŸ˜ž\nwhy can't they understand that it's not always amazon fault..\n#carrierfault,anger,0.812,get response customer understand amazon fault
"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick! #rage #wtf  #murder",anger,0.812,taser immobilize taser fuck need shoot second later sick
"@LeKingCoq @MistaAggy @GiovanniiDC The way my blood is boiling, little bastards!",anger,0.792,way blood boil little bastard
Actually fuming I have nothing to wear Saturday,anger,0.792,actually fume wear saturday
.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming,anger,0.792,straight people arse straight guy think mean threesome fine
Bloody parking ticket ðŸ˜’ðŸ’¸ #fuming,anger,0.792,bloody parking ticket
You ever just find that the people around you really irritate you sometimes? That's me right now ðŸ˜’,anger,0.792,find people irritate right
I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road ,anger,0.792,angry people know stop sign francis foster
"This fuck you is boiling up inside, its not gonna be good when I let it out.",anger,0.792,fuck boil inside go to good let
@VodafoneUKhelp @VodafoneUK wow!! My bill is Â£44.77 and hav a text from u to prove that and you have taken Â£148!!!!! #swines #fuming #con!,anger,0.792,wow bill â hav text u prove take â
I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed ,anger,0.792,blame season natalie season different turn alliance
Since the 'update' my @iPhone loses power nearly 40% faster.  #furious,anger,0.792,update lose power nearly fast
@bringyouhome2 I'm about to fly into a fit of rage it's not FAIR,anger,0.792,fly fit rage fair
Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up #fuming #treatcustomersfairly,anger,0.792,unbelievable take minute fault hang
@ggreenwald @SusanSarandon We are blaming 5% of the fucking idiots who are putting the World in the middle of their tantrums. You are one.,anger,0.792,blame fuck idiot put world middle tantrum
@SunandBeachBum 'you people' infuriate me!,anger,0.792,people infuriate
@rtrn94 Mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male resentment,anger,0.792,party decide party slowly transform vengeful hell cult white male resentment
So #angry about my @WishShopping order. 6 #months ago I placed an order of over $500. Card billed. Never #received \n#disappointing,anger,0.771,order ago place order card bill
Still can't log into my fucking Snapchat#Snapchat #snap,anger,0.9,log fuck snapchat
@ThomsonCares Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! #fuming,anger,0.771,yes helpful need sort asap promise stuff happen
"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM #rage #HuckFP2",anger,0.771,let snakes house bet kill bugger hand
so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed  #upset #tired #sad #tired #hangry ######,anger,0.771,ef whichever butt wipe pull fire alarm davis bc sound asleep
"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages ",anger,0.733,come glasgow night work fucking gutte wait appearance age
i feel furious,anger,0.771,feel furious
Some Mexican ladies irritate the fuck outta me. Have a their own lil preschool of fucking kids for the welfare &amp; allllat smh.,anger,0.771,mexican ladies irritate fuck outta lil preschool fucking kid welfare amp allllat smh
Still can't log into my fucking Snapchat #Snapchat ,anger,0.771,log fuck snapchat
I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed #bitter,anger,0.771,blame season natalie season different turn alliance
People irritate my MF soul,anger,0.771,people irritate mf soul
Im so angry ðŸ˜‚ðŸ™ƒ,anger,0.75,m angry
People fuckin irritate me,anger,0.75,people fuckin irritate
"@leesyatt you are a cruel, cruel man. #therewillbeblood #revenge",anger,0.84,cruel cruel man
That way ur so angry you can literally feel ur blood boiling,anger,0.75,way ur angry literally feel ur blood boil
@KatzeAnilothei this amount of greedy mooching makes me snarl.,anger,0.75,greedy mooching make snarl
My mind is raging and i just want to end it all,anger,0.75,mind rage want end
Absolutely fuming that some woman jumped into my prebooked taxi and drove off ðŸ˜¡,anger,0.75,absolutely fume woman jump prebooked taxi drive
I'm nothing but a hateful and bitter fag,anger,0.75,hateful bitter fag
@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time! #angry #notfair #whypay,anger,0.75,need people hog machine use machine time
@JrDingy96 Ikr people still got a grudge against him for no reason like wtf?!,anger,0.75,ikr people get grudge reason like wtf
@lynnew69 then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! #fuming,anger,0.75,say talk will uncontrollable animal move link comment help
@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone #furious,anger,0.844,bad news order online go happen order phone
So angry I wanna cryðŸ˜¢ðŸ˜¢ðŸ˜¢,anger,0.75,angry wanna
OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH ,anger,0.75,ooooooooh god uuuugggghhhhhhhhh
Boycotting @DunkinDonuts till butter pecan comes back. I am furious,anger,0.75,boycott till butter pecan come furious
"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep #angry",anger,0.885,black people fight recognize human being
my mom cut my phone off and I'm so furious ðŸ¤—,anger,0.75,mom cut phone furious ðÿ
Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps,anger,0.75,thing feed naay rage brother fill gap
can't believe Achilles killed me! #angry,anger,0.75,believe achille kill
I lost a couple niggas I want revenge so put me in coach,anger,0.875,lose couple niggas want revenge coach
@mjmralph then it's poor packaging my Amazon and the fulfilled seller should be furious as much as you ðŸ˜•,anger,0.75,poor packaging amazon fulfil seller furious
Where's your outrage when a black man kills another black man in the streets?,anger,0.75,outrage black man kill black man street
it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75,make fucking irate jesus call ppl like hajime abusive stop strawmen lmao
Absolutely fuming I've just scratched all my car ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡,anger,0.75,absolutely fume scratch car
@Ms_HeartAttack holy shit it just a bee sting like fuck you're not dying,anger,0.553,holy shit bee sting like fuck die
How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door.  #mad ##,anger,0.729,heck move fridge knock landlord door
I dislike people who get offended by the littlest shit .,anger,0.729,dislike people offend littlest shit
"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work #furious #hangry #day5",anger,0.729,fuck suppose lunch dinner money work
"@justyne_haley it does. if one person ruins season 13 for me, I will be so angry",anger,0.729,person ruin season angry
"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work  #hangry #day5",anger,0.729,fuck suppose lunch dinner money work
@firstleeds not only are your buses unreliable your e ticket app is too unable to get on two buses and late for work #fuming #useless reply,anger,0.864,bus unreliable e ticket app unable bus late work reply
So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted #offended,anger,0.729,indian uber driver call n word move vehicle jump
"The liberal outrage over don king saying the N-word really angers me. The white yuppie progressives can go fuck themselves, shame on blacks",anger,0.863,liberal outrage don king say n word anger white yuppie progressive fuck shame black
Just paid for chicken at @panerabread and didn't even get any ðŸ˜‘ðŸ˜‘ðŸ˜‘ there goes 4 dollars and me as a customer #angry,anger,0.729,pay chicken go dollar customer
but that was a mistake and a half assed excuse and now here i am burning in hell forever,anger,0.729,mistake half asse excuse burn hell forever
@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing #fuming #noloyalty #joke #notimpressed,anger,0.873,year irrelevant absolute joke
@hollyrobinson__ Part 2-was buzzing for a cheeky squashie or two-this was NOT what i expected.SORT IT OUT! #food #angry  @coopuk @coopukfood,anger,0.538,buzz cheeky squashie
"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick!  #wtf #murder",anger,0.729,taser immobilize taser fuck need shoot second later sick
Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! ,anger,0.729,be tell true blooded hoopjunkie switch team juz destroy team juz
@ChurdAllan fucked my coupon that goal! #raging,anger,0.729,fuck coupon goal
LVG bribed all the refs against Utd for his own personal revenge. That was a foul you prick.,anger,0.729,lvg bribe ref utd personal revenge foul prick
"Now that the whole clown rage has scared me shitless, I'm gonna go cry in my room",anger,0.729,clown rage scare shitless go to cry room
Worst juror ever? Michelle. You were Nicole's biggest threat. #bitter #bb18,anger,0.729,bad juror michelle nicole big threat
Your twitter picture just makes me fume.,anger,0.729,twitter picture make fume
"@leesyatt you are a cruel, cruel man. #therewillbeblood ",anger,0.775,cruel cruel man
"That's really it for my madden career that game sucks , ea sports does a piss poor job every year on that shit",anger,0.867,madden career game suck ea sport piss poor job year shit
"@NeoFundie @fitchest Ha. Right. I'm from San Jose, CA, and I was offended right there with you. Dave, go on a walk or something next time.",anger,0.831,ha right san jose offend right dave walk time
@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time!  #notfair #whypay,anger,0.708,need people hog machine use machine time
I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop #angry #howmanymoretimes,anger,0.708,wonder american city protest police shooting smh
@politico @realDonaldTrump another angry white man!,anger,0.708,angry white man
Have wee pop socks on and they KEEP FALLING OFF INSIDE MY SHOES #rage,anger,0.759,wee pop sock fall inside shoe
"The majority of people irritate the fuck out of me, cba with people ahahah",anger,0.862,majority people irritate fuck cba people ahahah
@oscar_perria a multimillionaire spoiled brat who gets In a self righteous huff bc his friend is Muslim is a non starter bye!,anger,0.708,multimillionaire spoil brat get self righteous huff bc friend muslim non starter bye
Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! ,anger,0.708,will not use guy not right
@kingvee_ don't provoke me to anger,anger,0.708,provoke anger
You complain all the time and then wonder why people never want to see you. You acc rile me up. Stfuuu!!!!,anger,0.708,complain time wonder people want acc rile stfuuu
Bloods boiling,anger,0.708,blood boil
"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet",anger,0.708,leave rule nimber carpet cleaning
@DarkLuneFantasy wallah my blood is boiling I need to take a nap ugh,anger,0.817,wallah blood boiling need nap ugh
